[Sun Feb 14 20:35:52 2021] [warn] Init: Name-based SSL virtual hosts only work for clients with TLS server name indication support (RFC 4366)
[Sun Feb 14 20:35:52 2021] [warn] pid file W:/usr/local/apache/logs/httpd.pid overwritten -- Unclean shutdown of previous Apache run?
[Sun Feb 14 20:35:52 2021] [warn] Init: Name-based SSL virtual hosts only work for clients with TLS server name indication support (RFC 4366)
[Sun Feb 14 20:35:52 2021] [notice] Apache/2.2.22 (Win32) mod_ssl/2.2.22 OpenSSL/1.0.1c PHP/5.3.13 configured -- resuming normal operations
[Sun Feb 14 20:35:52 2021] [notice] Server built: Apr 20 2012 18:42:30
[Sun Feb 14 20:35:52 2021] [notice] Parent: Created child process 2744
[Sun Feb 14 20:35:52 2021] [notice] Disabled use of AcceptEx() WinSock2 API
[Sun Feb 14 20:35:52 2021] [warn] Init: Name-based SSL virtual hosts only work for clients with TLS server name indication support (RFC 4366)
[Sun Feb 14 20:46:53 2021] [error] [client 127.0.0.1] File does not exist: W:/home/localhost/www/wpad.dat
[Sun Feb 14 20:53:18 2021] [error] [client 127.0.0.1] File does not exist: W:/home/localhost/www/wpad.dat
[Sun Feb 14 20:55:55 2021] [error] [client 127.0.0.1] File does not exist: W:/home/localhost/www/wpad.dat
[Sun Feb 14 20:56:53 2021] [error] [client 127.0.0.1] File does not exist: W:/home/localhost/www/wpad.dat
[Sun Feb 14 21:06:54 2021] [error] [client 127.0.0.1] File does not exist: W:/home/localhost/www/wpad.dat
[Sun Feb 14 21:16:55 2021] [error] [client 127.0.0.1] File does not exist: W:/home/localhost/www/wpad.dat
[Sun Feb 14 21:23:18 2021] [error] [client 127.0.0.1] File does not exist: W:/home/localhost/www/wpad.dat
[Sun Feb 14 21:26:00 2021] [error] [client 127.0.0.1] File does not exist: W:/home/localhost/www/wpad.dat
[Sun Feb 14 21:26:56 2021] [error] [client 127.0.0.1] File does not exist: W:/home/localhost/www/wpad.dat
[Sun Feb 14 21:27:05 2021] [error] [client 127.0.0.1] File does not exist: W:/home/localhost/www/wpad.dat
[Sun Feb 14 21:36:57 2021] [error] [client 127.0.0.1] File does not exist: W:/home/localhost/www/wpad.dat
[Sun Feb 14 21:37:10 2021] [error] [client 127.0.0.1] File does not exist: W:/home/localhost/www/wpad.dat
[Sun Feb 14 21:46:58 2021] [error] [client 127.0.0.1] File does not exist: W:/home/localhost/www/wpad.dat
